Country,Year,Production Mineral,Production Qty,Import Mineral Name,Import Qty,Access to electricity (% of pop),Central Govt Debt (% of GDP),Electricity from fossil (% of total),Electricity from nuclear (% of total),Electricity from renewables excl. hydro (% of total),FDI (% of GDP),FDI (US$),GDP (constant PPP),GDP (current US$),GDP growth (%),Population (Total),WGI Average,,,,
Armenia,2022,Copper,71466,Copper,0,100,46.55182255,42.19804135,30.96844396,0,4.999915861,0,53107640869,19513506553,12.6,2969200,-0.187651709,,,,
Armenia,2022,Molybdenum,10991,Molybdenum,0,100,46.55182255,42.19804135,30.96844396,0,4.999915861,0,53107640869,19513506553,12.6,2969200,-0.187651709,,,,
Armenia,2022,Rhenium,140,Rhenium,0,100,46.55182255,42.19804135,30.96844396,0,4.999915861,0,53107640869,19513506553,12.6,2969200,-0.187651709,,,,
Armenia,2023,Copper,67705,Copper,0,100,48.25628452,0,0,0,2.409578645,0,57515575061,24085749592,8.3,2964300,-0.158780659,,,,
Armenia,2023,Molybdenum,11116,Molybdenum,0,100,48.25628452,0,0,0,2.409578645,0,57515575061,24085749592,8.3,2964300,-0.158780659,,,,
Armenia,2023,Rhenium,140,Rhenium,0,100,48.25628452,0,0,0,2.409578645,0,57515575061,24085749592,8.3,2964300,-0.158780659,,,,
Australia,2019,Antimony,2032,Antimony,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Cadmium,204,Cadmium,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Cobalt,5746,Cobalt,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Copper,925157,Copper,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Lithium (Li2O),105700,Lithium (Li2O),0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Molybdenum,0,Molybdenum,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Nickel,158751,Nickel,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Palladium,390,Palladium,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Phosphate Rock (P2O5),165750,Phosphate Rock (P2O5),0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Platinum,95,Platinum,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Potash (K2O),0,Potash (K2O),0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Rare Earths (REO),17660,Rare Earths (REO),0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Tantalum (Ta2O5),80,Tantalum (Ta2O5),0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
Australia,2019,Tin,7738,Tin,0,100,60.2260852,80.2964882,0,13.65633427,2.781967875,0,1.47E+12,1.39E+12,2.171545057,25334826,1.512395273,,,,
